sequence.sequenceID	alignment.name	alignment.displayName	sequence.m49_country.id	sequence.m49_country.display_name	sequence.gb_place_sampled	sequence.collection_year	sequence.earliest_collection_year	sequence.latest_collection_year	sequence.gb_length	sequence.gb_create_date	sequence.gb_update_date	sequence.host	sequence.gb_pubmed_id	sequence.isolate
KY210272	AL_Cosmopolitan_AF1b	Cosmopolitan AF1b	TZA	Tanzania	Serengeti District	2013	2013	2013	11923	03-Dec-2017	03-Dec-2017	Canis familiaris	-	rv3084
KY210273	AL_Cosmopolitan_AF1b	Cosmopolitan AF1b	TZA	Tanzania	Serengeti District	2013	2013	2013	11923	03-Dec-2017	03-Dec-2017	Canis familiaris	-	rv3085
KY210274	AL_Cosmopolitan_AF1b	Cosmopolitan AF1b	TZA	Tanzania	Serengeti District	2013	2013	2013	11923	03-Dec-2017	03-Dec-2017	Bos taurus	-	rv3086
KY210275	AL_Cosmopolitan_AF1b	Cosmopolitan AF1b	TZA	Tanzania	Serengeti District	2013	2013	2013	11914	03-Dec-2017	03-Dec-2017	Bos taurus	-	rv3087
KY210276	AL_Cosmopolitan_AF1b	Cosmopolitan AF1b	TZA	Tanzania	Serengeti District	2013	2013	2013	11923	03-Dec-2017	03-Dec-2017	Bos taurus	-	rv3088
KY210277	AL_Cosmopolitan_AF1b	Cosmopolitan AF1b	TZA	Tanzania	Serengeti District	2011	2011	2011	11923	03-Dec-2017	03-Dec-2017	Bos taurus	-	rv3090
KY210278	AL_Cosmopolitan_AF1b	Cosmopolitan AF1b	TZA	Tanzania	Serengeti District	2011	2011	2011	11920	03-Dec-2017	03-Dec-2017	Canis familiaris	-	rv3092
KY210279	AL_Cosmopolitan_AF1b	Cosmopolitan AF1b	TZA	Tanzania	Serengeti District	2011	2011	2011	11903	03-Dec-2017	03-Dec-2017	Canis familiaris	-	rv3094
KY210280	AL_Cosmopolitan_AF1b	Cosmopolitan AF1b	TZA	Tanzania	Serengeti District	2012	2012	2012	11923	03-Dec-2017	03-Dec-2017	Canis familiaris	-	rv3096
KY210281	AL_Cosmopolitan_AF1b	Cosmopolitan AF1b	TZA	Tanzania	Serengeti District	2012	2012	2012	11923	03-Dec-2017	03-Dec-2017	Canis familiaris	-	rv3097
KY210282	AL_Cosmopolitan_AF1b	Cosmopolitan AF1b	TZA	Tanzania	Serengeti District	2012	2012	2012	11869	03-Dec-2017	03-Dec-2017	Canis familiaris	-	rv3098
KY210283	AL_Cosmopolitan_AF1b	Cosmopolitan AF1b	TZA	Tanzania	Serengeti District	2012	2012	2012	11923	03-Dec-2017	03-Dec-2017	Bos taurus	-	rv3099
KY210284	AL_Cosmopolitan_AF1b	Cosmopolitan AF1b	TZA	Tanzania	Serengeti District	2012	2012	2012	11914	03-Dec-2017	03-Dec-2017	Jackal	-	rv3101
KY210285	AL_Cosmopolitan_AF1b	Cosmopolitan AF1b	TZA	Tanzania	Serengeti District	2012	2012	2012	11923	03-Dec-2017	03-Dec-2017	Capra hircus	-	rv3102
KY210286	AL_Cosmopolitan_AF1b	Cosmopolitan AF1b	TZA	Tanzania	Serengeti District	2011	2011	2011	11922	03-Dec-2017	03-Dec-2017	Canis familiaris	-	rv3103
KY210287	AL_Cosmopolitan_AF1b	Cosmopolitan AF1b	TZA	Tanzania	Serengeti District	2012	2012	2012	11873	03-Dec-2017	03-Dec-2017	Canis familiaris	-	rv3105
KY210288	AL_Cosmopolitan_AF1b	Cosmopolitan AF1b	TZA	Tanzania	Serengeti District	2012	2012	2012	11922	03-Dec-2017	03-Dec-2017	Canis familiaris	-	rv3109
KY210289	AL_Cosmopolitan_AF1b	Cosmopolitan AF1b	TZA	Tanzania	Serengeti District	2012	2012	2012	11920	03-Dec-2017	03-Dec-2017	Canis familiaris	-	rv3110
KY210290	AL_Cosmopolitan_AF1b	Cosmopolitan AF1b	TZA	Tanzania	Serengeti District	2012	2012	2012	11920	03-Dec-2017	03-Dec-2017	Canis familiaris	-	rv3113
KY210291	AL_Cosmopolitan_AF1b	Cosmopolitan AF1b	TZA	Tanzania	Serengeti District	2012	2012	2012	11923	03-Dec-2017	03-Dec-2017	Jackal	-	rv3114
KY210292	AL_Cosmopolitan_AF1b	Cosmopolitan AF1b	TZA	Tanzania	Serengeti District	2012	2012	2012	11923	03-Dec-2017	03-Dec-2017	Canis familiaris	-	rv3115
KY210293	AL_Cosmopolitan_AF1b	Cosmopolitan AF1b	TZA	Tanzania	Serengeti District	2012	2012	2012	11915	03-Dec-2017	03-Dec-2017	Canis familiaris	-	rv3119
KY210294	AL_Cosmopolitan_AF1b	Cosmopolitan AF1b	TZA	Tanzania	Serengeti District	2012	2012	2012	11920	03-Dec-2017	03-Dec-2017	Canis familiaris	-	rv3121
KY210295	AL_Cosmopolitan_AF1b	Cosmopolitan AF1b	TZA	Tanzania	Serengeti District	2012	2012	2012	11923	03-Dec-2017	03-Dec-2017	Canis familiaris	-	rv3122
KY210296	AL_Cosmopolitan_AF1b	Cosmopolitan AF1b	TZA	Tanzania	Serengeti District	2012	2012	2012	11923	03-Dec-2017	03-Dec-2017	Canis familiaris	-	rv3124
KY210297	AL_Cosmopolitan_AF1b	Cosmopolitan AF1b	TZA	Tanzania	Serengeti District	2012	2012	2012	11923	03-Dec-2017	03-Dec-2017	Ovis aries	-	rv3129
KY210298	AL_Cosmopolitan_AF1b	Cosmopolitan AF1b	TZA	Tanzania	Serengeti District	2012	2012	2012	11920	03-Dec-2017	03-Dec-2017	Capra hircus	-	rv3130
KY210299	AL_Cosmopolitan_AF1b	Cosmopolitan AF1b	TZA	Tanzania	Serengeti District	2012	2012	2012	11914	03-Dec-2017	03-Dec-2017	Canis familiaris	-	rv3134
KY210300	AL_Cosmopolitan_AF1b	Cosmopolitan AF1b	TZA	Tanzania	Serengeti District	2012	2012	2012	11923	03-Dec-2017	03-Dec-2017	Canis familiaris	-	rv3135
KY210301	AL_Cosmopolitan_AF1b	Cosmopolitan AF1b	TZA	Tanzania	Serengeti District	2012	2012	2012	11923	03-Dec-2017	03-Dec-2017	Bos taurus	-	rv3136
KY210302	AL_Cosmopolitan_AF1b	Cosmopolitan AF1b	TZA	Tanzania	Serengeti District	2012	2012	2012	11920	03-Dec-2017	03-Dec-2017	Capra hircus	-	rv3137
KY210303	AL_Cosmopolitan_AF1b	Cosmopolitan AF1b	TZA	Tanzania	Serengeti District	2012	2012	2012	11923	03-Dec-2017	03-Dec-2017	Canis familiaris	-	rv3138
KY210304	AL_Cosmopolitan_AF1b	Cosmopolitan AF1b	TZA	Tanzania	Serengeti District	2012	2012	2012	11923	03-Dec-2017	03-Dec-2017	Canis familiaris	-	rv3139
KY210305	AL_Cosmopolitan_AF1b	Cosmopolitan AF1b	TZA	Tanzania	Serengeti District	2012	2012	2012	11923	03-Dec-2017	03-Dec-2017	Hyena	-	rv3145
KY210306	AL_Cosmopolitan_AF1b	Cosmopolitan AF1b	TZA	Tanzania	Serengeti District	2012	2012	2012	11923	03-Dec-2017	03-Dec-2017	Civet	-	rv3146
KY210307	AL_Cosmopolitan_AF1b	Cosmopolitan AF1b	TZA	Tanzania	Serengeti District	2012	2012	2012	11923	03-Dec-2017	03-Dec-2017	Canis familiaris	-	rv3150
KY210308	AL_Cosmopolitan_AF1b	Cosmopolitan AF1b	TZA	Tanzania	Serengeti District	2012	2012	2012	11875	03-Dec-2017	03-Dec-2017	Bos taurus	-	rv3151
KY210309	AL_Cosmopolitan_AF1b	Cosmopolitan AF1b	TZA	Tanzania	Serengeti District	2012	2012	2012	11906	03-Dec-2017	03-Dec-2017	not available	-	rv3152
KY210310	AL_Cosmopolitan_AF1b	Cosmopolitan AF1b	TZA	Tanzania	Serengeti District	2012	2012	2012	11891	03-Dec-2017	03-Dec-2017	Capra hircus	-	rv3153
KY210311	AL_Cosmopolitan_AF1b	Cosmopolitan AF1b	TZA	Tanzania	Serengeti District	2012	2012	2012	11919	03-Dec-2017	03-Dec-2017	Canis familiaris	-	rv3154
MN726802	AL_Cosmopolitan_AF1b	Cosmopolitan AF1b	TZA	Tanzania	-	2016	2016	2016	11552	25-Dec-2019	25-Dec-2019	-	-	RAB16033
MN726803	AL_Cosmopolitan_AF1b	Cosmopolitan AF1b	TZA	Tanzania	-	2018	2018	2018	11274	25-Dec-2019	25-Dec-2019	Canis lupus familiaris	-	SD713
MN726804	AL_Cosmopolitan_AF1b	Cosmopolitan AF1b	TZA	Tanzania	-	2015	2015	2015	11923	25-Dec-2019	25-Dec-2019	Canis lupus familiaris	-	SUB7087
MN726806	AL_Cosmopolitan_AF1b	Cosmopolitan AF1b	TZA	Tanzania	-	2017	2017	2017	10847	25-Dec-2019	25-Dec-2019	Canis lupus familiaris	-	SD648
MN726807	AL_Cosmopolitan_AF1b	Cosmopolitan AF1b	TZA	Tanzania	-	2017	2017	2017	11462	25-Dec-2019	25-Dec-2019	Canis lupus familiaris	-	PM024
MN726808	AL_Cosmopolitan_AF1b	Cosmopolitan AF1b	TZA	Tanzania	-	2016	2016	2016	11806	25-Dec-2019	25-Dec-2019	Canis lupus familiaris	-	SD622
MN726809	AL_Cosmopolitan_AF1b	Cosmopolitan AF1b	TZA	Tanzania	-	2016	2016	2016	11545	25-Dec-2019	25-Dec-2019	Canis lupus familiaris	-	PM015
MN726811	AL_Cosmopolitan_AF1b	Cosmopolitan AF1b	TZA	Tanzania	-	2017	2017	2017	11341	25-Dec-2019	25-Dec-2019	Canis lupus familiaris	-	SD711
MN726813	AL_Cosmopolitan_AF1b	Cosmopolitan AF1b	TZA	Tanzania	-	2017	2017	2017	10357	25-Dec-2019	25-Dec-2019	Canis lupus familiaris	-	PM025
MN726815	AL_Cosmopolitan_AF1b	Cosmopolitan AF1b	TZA	Tanzania	-	2015	2015	2015	11869	25-Dec-2019	25-Dec-2019	Canis mesomelas	-	SD577
MN726817	AL_Cosmopolitan_AF1b	Cosmopolitan AF1b	TZA	Tanzania	-	2016	2016	2016	11633	25-Dec-2019	25-Dec-2019	Bos taurus	-	SD620
MN726818	AL_Cosmopolitan_AF1b	Cosmopolitan AF1b	TZA	Tanzania	-	2015	2015	2015	11869	25-Dec-2019	25-Dec-2019	Canis lupus familiaris	-	SD601
MN726820	AL_Cosmopolitan_AF1b	Cosmopolitan AF1b	TZA	Tanzania	-	2017	2017	2017	11819	25-Dec-2019	25-Dec-2019	Felis catus	-	SD683
MN726822	AL_Cosmopolitan_AF1b	Cosmopolitan AF1b	TZA	Tanzania	-	2018	2018	2018	11341	25-Dec-2019	25-Dec-2019	Canis lupus familiaris	-	SD714
MN726823	AL_Cosmopolitan_AF1b	Cosmopolitan AF1b	TZA	Tanzania	-	2017	2017	2017	11341	25-Dec-2019	25-Dec-2019	-	-	SD706
MN726824	AL_Cosmopolitan_AF1b	Cosmopolitan AF1b	TZA	Tanzania	-	2016	2016	2016	11632	25-Dec-2019	25-Dec-2019	Canis lupus familiaris	-	RAB16031
MN726825	AL_Cosmopolitan_AF1b	Cosmopolitan AF1b	TZA	Tanzania	-	2015	2015	2015	11732	25-Dec-2019	25-Dec-2019	Canis mesomelas	-	SD577SG
MN726826	AL_Cosmopolitan_AF1b	Cosmopolitan AF1b	TZA	Tanzania	-	2016	2016	2016	11868	25-Dec-2019	25-Dec-2019	Canis lupus familiaris	-	Rab16025
MN726827	AL_Cosmopolitan_AF1b	Cosmopolitan AF1b	TZA	Tanzania	-	2017	2017	2017	11869	25-Dec-2019	25-Dec-2019	Canis lupus familiaris	-	PM023
MN726828	AL_Cosmopolitan_AF1b	Cosmopolitan AF1b	TZA	Tanzania	-	2017	2017	2017	11127	25-Dec-2019	25-Dec-2019	Capra hircus	-	PM019
MN726829	AL_Cosmopolitan_AF1b	Cosmopolitan AF1b	TZA	Tanzania	-	2017	2017	2017	11517	25-Dec-2019	25-Dec-2019	Canis lupus familiaris	-	SD693
MN726832	AL_Cosmopolitan_AF1b	Cosmopolitan AF1b	TZA	Tanzania	-	2017	2017	2017	11341	25-Dec-2019	25-Dec-2019	Canis lupus familiaris	-	SD709
MN726833	AL_Cosmopolitan_AF1b	Cosmopolitan AF1b	TZA	Tanzania	-	2017	2017	2017	11821	25-Dec-2019	25-Dec-2019	Canis lupus familiaris	-	SD641
MN726834	AL_Cosmopolitan_AF1b	Cosmopolitan AF1b	TZA	Tanzania	-	2017	2017	2017	10835	25-Dec-2019	25-Dec-2019	Canis lupus familiaris	-	SD681
MN726835	AL_Cosmopolitan_AF1b	Cosmopolitan AF1b	TZA	Tanzania	-	2017	2017	2017	11559	25-Dec-2019	25-Dec-2019	Canis lupus familiaris	-	PM018
